,Date,Open,High,Low,Close,Adj Close,Volume
,42698,230,237.850006,229.589996,237.75,237.75,6093000
,42699,236.699997,239.960007,234.369995,235.580002,235.580002,4617500
,42700,236.649994,239.710007,235.580002,238.360001,238.360001,3769000
,42701,247.25,248.679993,240.75,243.759995,243.759995,7732300
,42702,245.460007,246,243.009995,244.729996,244.729996,4204300
,42703,245.850006,250.889999,245.5,248.919998,248.919998,6262900
,42704,250,254.800003,249.649994,254.610001,254.610001,4965500
,42705,257.309998,258.459991,251.800003,254.470001,254.470001,5142600
,42706,254.289993,255.740005,250.75,252.509995,252.509995,3152100
,42707,251.380005,253,248.520004,252.949997,252.949997,3166300
,42708,252.529999,255.289993,247.100006,250.630005,250.630005,3801100
,42709,249.240005,255.889999,247.699997,251.929993,251.929993,4116100
,42710,253.050003,253.199997,249.050003,249.240005,249.240005,3958800
,42711,248.339996,252.419998,247.710007,251.550003,251.550003,2499800
,42712,251.910004,252.179993,249.679993,251.330002,251.330002,2186700
,42713,251,257.820007,250.630005,257.769989,257.769989,3562500
,42714,258.190002,260,256.420013,257.480011,257.480011,4244800
,42715,257.350006,263.359985,256.200012,262.079987,262.079987,3933000
,42716,266.25,271.179993,266.149994,269.200012,269.200012,7820200
,42717,269.790009,270.950012,266.109985,269.230011,269.230011,3619700
,42718,270.73999,280.790009,270.51001,280.600006,280.600006,7029600
,42719,279.029999,287.390015,278.609985,280.980011,280.980011,7345200
,42720,280,282.23999,276.440002,279.76001,279.76001,4947900
,42721,277.600006,280,268.5,268.950012,268.950012,7077300
,42722,265.799988,272.890015,264.149994,272.230011,272.230011,6257100
,42723,275.450012,281.399994,274.01001,277.390015,277.390015,5676700
,42724,280.309998,283.450012,272.600006,273.51001,273.51001,8755000
,42725,264,264.660004,255.559998,255.990005,255.990005,14915200
,42726,252.660004,258.25,250.199997,257,257,8171600
,42727,248.169998,248.360001,242.009995,246.229996,246.229996,11460800
,42728,244.190002,251,243.899994,249.990005,249.990005,6078100
,42729,254.179993,254.850006,249.110001,250.020004,250.020004,4809500
,42730,249.710007,253.279999,248.270004,250.479996,250.479996,3351800
,42731,250.740005,251.899994,249,251.570007,251.570007,2919400
,42732,247.910004,251.699997,247.509995,251.210007,251.210007,3355500
,42733,251.919998,253.889999,248.320007,248.589996,248.589996,3459500
,42734,247,250.070007,245.320007,246.869995,246.869995,3725200
,42735,247.630005,248.660004,243,244.899994,244.899994,3879300
,42736,246.210007,246.5,243,243.690002,243.690002,3066300
,42737,244.820007,246.850006,242.779999,246.169998,246.169998,3022600
,42738,246.110001,258.119995,246.020004,258,258,7598400
,42739,257,261,254.270004,255.729996,255.729996,5330800
,42740,262.399994,265.75,259.059998,262.049988,262.049988,7132200
,42741,264,265.329987,261.200012,261.5,261.5,6497500
,42742,260.600006,264.549988,258.820007,261.920013,261.920013,3614300
,42743,262.829987,264.799988,250.240005,250.679993,250.679993,6908600
,42744,251.559998,255.070007,250.509995,255.009995,255.009995,4059300
,42745,255.389999,257.670013,253.300003,254.779999,254.779999,3320200
,42746,255.699997,263.890015,255.009995,263.160004,263.160004,5647300
,42747,260.600006,270.570007,259.75,270.220001,270.220001,6230800
,42748,277.019989,280.679993,275,277.450012,277.450012,7987600
,42749,278.339996,279.600006,275.540009,277.380005,277.380005,3676200
,42750,278.040009,282,277.209991,277.920013,277.920013,4148400
,42751,278.730011,279.679993,276.320007,278.299988,278.299988,3294600
,42752,286.899994,299,284.579987,298.519989,298.519989,13888600
,42753,296.890015,304.809998,294.529999,303.700012,303.700012,10134600
,42754,302.040009,304.880005,294.200012,295,295,7880900
,42755,296.880005,301.940002,294.100006,298.700012,298.700012,5520600
,42756,297.5,302.690002,297.149994,302.540009,302.540009,4579600
,42757,309.149994,313.730011,308.709991,312.390015,312.390015,7664500
,42758,313.380005,313.470001,305.5,308.709991,308.709991,5724600
,42759,306.339996,308.450012,296.320007,296.839996,296.839996,6050700
,42760,296.700012,307.390015,295.299988,304,304,9284600
,42761,302.700012,304,298.679993,301.440002,301.440002,4138700
,42762,299.700012,300.839996,297.899994,300.25,300.25,3035700
,42763,302.459991,306.619995,302.109985,305.519989,305.519989,3898000
,42764,306.51001,309.149994,300.230011,302.51001,302.51001,6149400
,42765,302,306.399994,300.420013,305.600006,305.600006,4509800
,42766,309.220001,310.549988,306.019989,308.029999,308.029999,5083500
,42767,308,313.980011,305.859985,313.790009,313.790009,6737700
,42768,312.369995,314.5,309,310.170013,310.170013,4695000
,42769,311.690002,313.089996,307.5,308.630005,308.630005,3468600
,42770,309.829987,314.799988,308,314.070007,314.070007,4505500
,42771,314.880005,327.25,314.809998,322.829987,322.829987,8829600
,42772,324,327.660004,316.559998,318.890015,318.890015,5382800
,42773,317.670013,321.529999,310.450012,311.019989,311.019989,7133400
,42774,307.440002,307.769989,290.76001,295.459991,295.459991,14152000
,42775,298,308.549988,296.799988,308.350006,308.350006,8177300
,42776,310.899994,313.790009,305.820007,307.190002,307.190002,7006500
,42777,309.380005,321.98999,309.100006,321.26001,321.26001,9676500
,42778,321.559998,325.5,318.119995,325.220001,325.220001,5741600
,42779,323.399994,326,319.600006,323.100006,323.100006,4753800
,42780,325.480011,327,321.529999,324.809998,324.809998,4121600
,42781,318.380005,320.200012,312.529999,315.880005,315.880005,7622000
,42782,317.589996,320.059998,315.140015,317.01001,317.01001,4152500
,42783,314.390015,314.630005,305.5,306.109985,306.109985,6711900
,42784,307,313.940002,305.309998,313.059998,313.059998,5653800
,42785,315.5,316.5,310.200012,310.829987,310.829987,4687600
,42786,312.799988,314.369995,306.799988,310.350006,310.350006,4329200
,42787,310.459991,310.730011,303.480011,303.859985,303.859985,4318400
,42788,306.51001,311,305.399994,310.220001,310.220001,5033300
,42789,311.019989,316.970001,307.809998,316.829987,316.829987,5014000
,42790,317.279999,325.48999,316.309998,325.140015,325.140015,7763700
,42791,326,336.279999,325.76001,335.100006,335.100006,7782900
,42792,337.690002,342.890015,335.160004,341.01001,341.01001,9963400
,42793,344,344.880005,337.290009,340.369995,340.369995,7608000
,42794,339.769989,342.880005,335.929993,339.850006,339.850006,5590200
,42795,338.5,348.440002,334.209991,347.320007,347.320007,6784400
,42796,344.700012,359.48999,339.970001,352.850006,352.850006,11086800
,42797,356.339996,360.5,355.140015,359.649994,359.649994,9398000
,42798,363.75,371.899994,360.220001,370,370,9061500
,42799,374.420013,376.869995,354.799988,357.320007,357.320007,17261400
,42800,357.98999,364.5,350.619995,359.01001,359.01001,10517700
